"Core1","Core2","Core3","Core4","TempCPU1","TempCPU2","TempCPU3","TempCPU4","CPU1","CPU2","CPU3","CPU4","Memory","TempMemory","SpaceMemory"
"21.875","23.4375","20.3125","28.125","39","38","40","38","3300.00244","3300.00244","3300.00244","3300.00244","72.18879","34","75.1859741"
"51.5625","60.9375","53.125","57.8125","36","36","37","36","1300.00024","1300.00024","1000.00024","1000.00024","72.4942551","34","75.18615"
"21.875","21.875","20.3125","18.75","36","36","37","36","2400.00244","1800.00183","1200.00122","1200.00122","72.5327148","34","75.18615"
"7.8125","18.75","14.0625","17.1875","35","35","37","35","800.000061","800.000061","800.000061","800.000061","72.53396","34","75.18615"
"6.25","3.125","3.125","6.25","36","35","37","35","1200.00122","1200.00122","800.000854","800.000854","72.44669","34","75.18615"
"9.375","10.9375","7.8125","10.9375","36","35","37","35","800.0002","800.0002","800.0002","800.0002","72.37203","34","75.18615"
"17.1875","18.75","20.63492","17.1875","36","35","37","35","800.0004","800.0004","1200.00061","1200.00061","72.401535","34","75.18615"
"29.6875","29.6875","24.6153831","26.5625","37","35","37","35","1700.00183","1700.00183","2100.00244","3300.00366","72.40326","34","75.18615"
"23.4375","26.5625","23.4375","25","38","37","39","37","3300.00317","2700.00244","3300.00317","2800.00269","72.38894","34","75.18615"
"17.1875","29.6875","12.5","18.75","36","35","36","35","799.9999","799.9999","799.9999","799.9999","72.40599","34","75.18615"
"6.25","4.6875","14.0625","6.25","35","35","37","35","800.000549","800.000549","800.000549","800.000549","72.3787842","34","75.18615"
"26.5625","28.125","21.875","25","36","35","38","36","800.0004","800.0004","1200.00061","1600.00085","72.38142","34","75.18615"
"17.1875","6.25","10.9375","10.9375","37","36","38","35","3400.00513","3300.005","3300.005","3300.005","72.30968","34","75.18615"
"4.6875","6.25","3.125","3.125","37","36","38","36","3300.00146","3300.00146","3300.00146","3300.00146","72.31303","34","75.18615"
"12.5","9.375","7.8125","6.25","36","35","37","35","1900.0011","3300.002","3100.002","2200.00122","72.24832","34","75.18615"
"7.8125","3.125","6.25","6.25","38","36","38","36","3300.00269","3100.00244","3300.00269","2800.0022","72.30527","34","75.18615"
"23.4375","14.0625","7.8125","9.375","38","37","38","36","3100.0022","2200.00146","1300.001","800.000549","72.2317047","34","75.18615"
"20.3125","4.6875","6.25","4.6875","37","35","37","35","2800.00171","2800.00171","2800.00171","2800.00171","72.21087","34","75.18615"
"31.25","12.5","14.0625","15.625","38","36","39","36","2800.00269","3300.00317","3300.00317","3300.00317","72.2272","34","75.18615"
"28.125","6.25","1.5625","4.6875","37","36","38","35","799.9996","799.9996","799.9996","799.9996","72.22859","34","75.18615"
"10.9375","3.125","12.5","3.125","36","35","37","35","800.0006","1600.00122","1600.00122","1600.00122","72.22715","34","75.18615"
"4.6875","7.8125","6.25","4.6875","37","36","37","35","1200.00085","2400.00171","3300.00244","3300.00244","72.22208","34","75.18615"
"28.125","21.875","23.4375","21.875","44","37","39","37","3300.004","3300.004","3300.004","3300.004","72.05809","34","75.18615"
"17.1875","20.3125","20.3125","23.4375","38","38","39","37","3300.003","3300.003","3300.003","3300.003","72.0625458","34","75.18615"
"43.75","43.75","56.25","53.125","43","44","44","42","3300.002","3300.002","3300.002","3300.002","71.6216354","34","75.18615"
"43.75","51.5625","50","54.6875","38","37","39","37","2400.00122","3300.00171","3300.00171","3300.00171","71.59529","34","75.18615"
"23.4375","25","20.3125","39.0625","39","43","45","39","3300.00244","3300.00244","3300.00244","3300.00244","71.6249847","34","75.18615"
"15.625","10.9375","15.625","32.8125","36","36","38","36","800.000366","800.000366","800.000366","800.000366","71.68203","34","75.18615"
"3.125","6.25","6.25","3.125","36","35","36","35","800.0003","800.0003","800.0003","800.0003","71.67485","34","75.18615"
"10.9375","6.25","6.25","9.375","37","35","37","35","1200.00012","1200.00012","1200.00012","1200.00012","71.65602","34","75.18615"
"9.375","14.0625","12.5","17.1875","37","36","37","36","3300.005","3300.005","3300.005","3300.005","71.6715851","34","75.18615"
"18.75","17.1875","21.875","17.1875","37","36","38","36","1999.99939","2799.99927","2799.99927","3299.999","71.69333","34","75.18641"
"2.222222","4.444444","0","2.222222","36","35","37","35","799.9996","799.9996","799.9996","799.9996","71.69539","34","75.18641"
"17.1875","12.5","19.0476189","20.3125","37","35","37","35","800.000549","800.000549","800.000549","800.000549","71.67073","34","75.18641"
"3.125","3.125","1.53846145","4.6875","36","35","37","35","800.0004","800.0004","800.0004","800.0004","71.71072","34","75.18641"
"7.8125","7.8125","12.5","4.6875","36","35","36","36","800.0005","800.0005","800.0005","800.0005","71.58845","34","75.18641"
"7.8125","7.8125","6.25","3.125","36","36","37","35","1600.00134","2000.00159","2000.00159","2000.00159","71.65377","34","75.18641"
"3.125","3.125","9.375","4.6875","36","35","37","35","800.0005","800.0005","800.0005","800.0005","71.6535339","34","75.18641"
"0","4.6875","6.25","1.5625","36","35","37","35","800.000549","800.000549","800.000549","800.000549","71.6473541","34","75.18641"
"6.25","4.6875","4.76190472","10.9375","35","35","37","35","800.0004","800.0004","800.0004","800.0004","71.61244","34","75.18641"
"4.6875","10.9375","10.76923","9.375","36","35","37","35","800.0003","800.0003","800.0003","800.0003","71.63394","34","75.18641"
"14.0625","15.625","20.3125","15.625","37","35","36","35","800.0008","800.0008","800.0008","800.0008","71.4840851","34","75.18641"
"17.1875","12.5","10.9375","20.3125","37","35","37","36","1200.00122","800.000854","800.000854","800.000854","71.54544","34","75.18641"
"7.8125","10.9375","3.125","6.25","36","35","40","35","3300.0022","3100.002","2200.00146","1300.00085","71.54999","34","75.18641"
"0","6.25","1.5625","6.25","37","36","38","40","3300.00317","3300.00317","3300.00317","2700.00244","71.60923","34","75.18641"
"17.1875","18.75","21.875","14.0625","37","35","38","36","2200.00122","2200.00122","3300.00171","800.0004","71.54587","34","75.18641"
"17.1875","18.75","17.1875","20.3125","37","36","38","36","1200.00037","2400.00073","3300.001","3300.001","71.5629654","34","75.18641"
"29.6875","29.6875","23.4375","34.375","38","36","38","36","3300.00317","3300.00317","800.000732","800.000732","71.57489","34","75.18641"
"15.625","21.875","15.625","15.625","37","36","38","36","800.0001","1200.00012","1600.00024","1600.00024","71.59549","34","75.18641"
"21.875","28.125","14.0625","18.75","37","36","37","36","800.0004","1600.00085","3300.002","3300.002","71.68605","34","75.18641"
"7.8125","12.5","12.5","10.9375","37","37","38","36","3300.005","3300.005","2500.00366","1600.00232","71.684906","34","75.18641"
"17.1875","20.3125","14.0625","21.875","37","36","38","36","2500.00146","1600.00085","1000.00055","1000.00055","71.6217346","34","75.18641"
"21.875","25","25","23.4375","39","37","38","37","3000.002","3300.0022","3300.0022","3300.0022","71.65291","34","75.18641"
"15.625","18.75","17.1875","23.4375","37","36","38","36","2400.00122","2400.00122","2100.001","1500.00073","71.65334","34","75.18641"
"15.625","17.1875","20.3125","17.1875","42","41","41","41","3300.00269","3300.00269","3300.00269","3300.00269","71.53356","34","75.18641"
"20.3125","21.875","26.5625","18.75","37","35","37","36","999.999756","1399.99963","1399.99963","3299.99927","71.61503","34","75.18641"
"10.9375","15.625","10.9375","9.375","36","35","38","35","2600.00366","800.00116","800.00116","3300.005","71.54266","34","75.18641"
"10.9375","9.375","12.5","9.375","36","35","37","35","800.000061","800.000061","800.000061","800.000061","71.60028","34","75.18641"
"6.25","10.9375","7.8125","7.8125","36","35","37","35","800.000549","800.000549","800.000549","800.000549","71.61105","34","75.18641"
"3.125","9.375","7.8125","4.6875","36","35","38","35","2000.00159","2000.00159","1700.00134","800.0006","71.50913","34","75.18641"
"7.8125","6.25","14.0625","6.25","36","35","37","35","800.0003","800.0003","800.0003","800.0003","71.44707","34","75.1863861"
"7.8125","12.5","6.25","6.25","36","35","37","35","1200.001","1200.001","1600.00134","1600.00134","71.42734","34","75.1863861"
"10.9375","17.1875","4.6875","18.75","36","36","37","35","800.0002","800.0002","800.0002","800.0002","71.56019","34","75.1863861"
"14.0625","20.3125","23.4375","14.0625","36","35","37","36","3300.003","3300.003","3300.003","3300.003","71.5596161","34","75.1863861"
"7.8125","4.6875","6.25","9.375","37","36","38","36","3300.00415","3300.00415","3300.00415","3300.00415","71.55301","34","75.1863861"
"14.0625","7.8125","15.625","12.5","36","36","37","35","2000.0011","2000.0011","1700.001","800.0004","71.5383","34","75.1863861"
"10.9375","10.9375","9.375","15.625","37","36","41","35","3300.003","3300.003","2800.00244","1900.00159","71.50435","34","75.1863861"
"10.9375","10.9375","6.25","7.8125","37","35","37","35","3300.00171","3300.00171","3300.00171","3100.00171","71.5230255","34","75.1863861"
"7.8125","9.375","14.0625","9.375","37","36","38","35","2400.00146","2400.00146","800.0005","800.0005","71.52959","34","75.1863861"
"64.0625","60.9375","57.8125","59.375","42","43","43","43","3300.0022","3300.0022","3300.0022","3300.0022","71.5675659","34","75.1863861"
"60.9375","65.625","67.1875","60.9375","37","37","38","36","2400.00024","3200.00024","3300.00024","3300.00024","71.79841","34","75.1863861"
"37.5","34.375","39.0625","32.8125","37","37","38","36","3300.00366","3300.00366","3300.00366","3300.00366","71.8535843","34","75.1863861"
"15.625","12.5","12.5","17.1875","36","35","37","35","800.0001","800.0001","800.0001","800.0001","71.853775","34","75.1863861"
"7.8125","9.375","12.5","12.5","36","35","38","35","800.0005","800.0005","1200.00073","2000.00122","71.85215","34","75.1863861"
"20.3125","31.25","28.125","28.125","38","39","40","37","3300.004","3300.004","3300.004","3300.004","71.855835","34","75.1863861"
"14.0625","9.375","0","9.375","37","36","37","37","2400.00146","2400.00146","2100.00122","1200.00073","71.85315","34","75.1863861"
"6.25","4.6875","6.25","3.125","36","34","37","35","800.0004","800.0004","800.0004","800.0004","71.815506","34","75.1863861"
"6.25","3.125","1.5625","4.6875","36","36","37","36","800.0002","800.0002","800.0002","3300.00073","71.85052","34","75.1863861"
"4.6875","6.25","12.5","3.125","36","35","37","35","800.0004","800.0004","800.0004","3300.002","71.83289","34","75.1863861"
"9.375","9.375","14.0625","7.8125","37","36","38","36","3300.00513","3300.00513","2500.004","1600.00244","71.7936249","34","75.1863861"
"7.8125","6.25","9.375","12.5","36","35","37","36","799.9998","1599.99963","1599.99963","1599.99963","71.80545","34","75.1863861"
"18.75","17.1875","7.8125","10.9375","37","35","38","36","1600.0022","1000.00134","1000.00134","1000.00134","71.8271942","34","75.1863861"
"14.0625","18.75","10.9375","17.1875","38","37","38","37","3300.002","800.0005","800.0005","2000.00122","71.75698","34","75.1863861"
"7.8125","9.375","17.4603157","12.5","36","36","38","36","800","800","800","800","71.80837","34","75.1863861"
"6.25","10.9375","6.153846","3.125","36","35","37","35","799.9999","799.9999","799.9999","799.9999","71.8066","34","75.1863861"
"12.5","6.25","6.25","1.5625","35","36","37","35","1000.00171","1800.003","3000.00513","3300.00562","71.85689","34","75.1863861"
"9.375","28.125","14.0625","10.9375","38","36","38","36","3300.00366","3300.00366","3300.00366","3300.00366","71.73098","34","75.1863861"
"4.6875","10.9375","14.0625","7.8125","38","36","38","38","3300.00171","3300.00171","3300.00171","3300.00171","71.80751","34","75.1863861"
"14.0625","12.5","18.75","14.0625","36","34","36","35","800.000061","800.000061","800.000061","800.000061","71.84046","34","75.1863861"
"10.9375","10.9375","10.9375","7.8125","37","36","37","35","1600.00134","1600.00134","1600.00134","1600.00134","71.8271942","34","75.18648"
"3.125","4.6875","1.58730149","4.6875","36","35","37","35","800.0006","800.0006","800.0006","800.0006","71.68342","34","75.18648"
"4.6875","6.25","7.69230747","4.6875","36","35","37","35","800.0004","800.0004","800.0004","800.0004","71.71086","34","75.18648"
"9.375","15.625","12.5","9.375","36","35","37","35","800.000549","800.000549","800.000549","800.000549","71.6963959","34","75.18648"
"18.75","14.0625","15.625","18.75","37","40","38","36","3300.004","3300.004","3300.004","3300.004","71.68749","34","75.18648"
